prompt,occasion,formality,constraint,color_tone,occasion_encoded,formality_encoded,constraint_encoded,color_tone_encoded
"semi-formal spring wedding with a colour palette set by the bride, I'm working within it",wedding,semi-formal,understated,bright,4,2,3,0
"semi-formal rainy day wedding, I need a contingency look that still photographs",wedding,semi-formal,understated,dark,4,2,3,1
semi-formal wedding abroad in a country with a different dressing culture,wedding,semi-formal,understated,neutral,4,2,3,2
bold semi-formal wedding look that the couple specifically encouraged,wedding,semi-formal,bold,soft,4,2,0,3
bright bold semi-formal wedding guest look that celebrates life loudly,wedding,semi-formal,bold,bright,4,2,0,0
semi-formal gothic wedding where guests were told to dress accordingly,wedding,semi-formal,bold,dark,4,2,0,1
semi-formal wedding with a creative dress code that requires actual thought,wedding,semi-formal,bold,neutral,4,2,0,2
semi-formal outdoor morning wedding that goes all the way to an evening dinner,wedding,semi-formal,no_constraint,soft,4,2,2,3
"semi-formal wedding where I'm a guest and also doing a reading, dual role",wedding,semi-formal,no_constraint,bright,4,2,2,0
semi-formal winter wedding where the venue has incredible architecture,wedding,semi-formal,no_constraint,dark,4,2,2,1
semi-formal wedding where the dress code is cocktail but the venue is very grand,wedding,semi-formal,no_constraint,neutral,4,2,2,2
formal office look for a day I'm shadowing the CEO and need to look the part,office,formal,understated,soft,2,1,3,3
formal work look for a day I'm being introduced to a new team and first impressions matter,office,formal,understated,bright,2,1,3,0
something to wear for a formal board presentation where I'm the youngest in the room,office,formal,understated,dark,2,1,3,1
"formal office look that reads quietly expensive, not flashy just right",office,formal,understated,neutral,2,1,3,2
powerful formal office look that says I'm here and I have opinions,office,formal,bold,soft,2,1,0,3
bright formal work look for a day I need to bring maximum energy,office,formal,bold,bright,2,1,0,0
bold dark formal office look for a day I need to feel untouchable,office,formal,bold,dark,2,1,0,1
formal office look with a bold accessory that elevates a neutral base,office,formal,bold,neutral,2,1,0,2
formal workwear for a very conservative industry where dress code is unspoken but strict,office,formal,no_constraint,soft,2,1,2,3
something for a formal work event abroad where I need to represent myself well,office,formal,no_constraint,bright,2,1,2,0
formal office look that's creative enough for my industry and professional enough for clients,office,formal,no_constraint,dark,2,1,2,1
formal work look that I've worn a version of every day for two years and still love,office,formal,no_constraint,neutral,2,1,2,2
semi-formal work look for a day I have an external speaker coming in,office,semi-formal,understated,soft,2,2,3,3
smart casual office look for an open plan office where everyone can see what I'm wearing,office,semi-formal,understated,bright,2,2,3,0
semi-formal dark work look for a Monday when I need armour,office,semi-formal,understated,dark,2,2,3,1
business casual look for a co-working space where the vibe is creative but grown up,office,semi-formal,understated,neutral,2,2,3,2
semi-formal office look that says I care about style but I'm also very good at my job,office,semi-formal,bold,soft,2,2,0,3
bright semi-formal office look for a day I'm hosting a workshop and need presence,office,semi-formal,bold,bright,2,2,0,0
"semi-formal dark office look with something unexpected, a detail that people notice",office,semi-formal,bold,dark,2,2,0,1
bold semi-formal office look that makes me feel like a person not just an employee,office,semi-formal,bold,neutral,2,2,0,2
semi-formal work look I can walk to the office in and not look like I commuted,office,semi-formal,no_constraint,soft,2,2,2,3
smart casual work look for a startup where the dress code is genuinely whatever,office,semi-formal,no_constraint,bright,2,2,2,0
semi-formal office look that can go from a team lunch to an evening event,office,semi-formal,no_constraint,dark,2,2,2,1
business casual look for a job I like but where I still want to express myself,office,semi-formal,no_constraint,neutral,2,2,2,2
"casual wfh look for a week of deep work, no calls, just me and my tasks",office,casual,understated,soft,2,0,3,3
casual bright work day look for a creative studio where the energy is playful,office,casual,understated,bright,2,0,3,0
casual dark work look for a tech company that has no dress code and judges nothing,office,casual,understated,dark,2,0,3,1
casual Friday look that's still sharper than jeans and a hoodie,office,casual,understated,neutral,2,0,3,2
casual office look with a bold piece that makes the day feel less routine,office,casual,bold,soft,2,0,0,3
"bright and bold casual work look, I'm in a creative role and I dress the part",office,casual,bold,bright,2,0,0,0
bold dark casual office look for someone who takes their personal brand seriously even at work,office,casual,bold,dark,2,0,0,1
"casual office bold look, I want my outfit to spark a conversation today",office,casual,bold,neutral,2,0,0,2
"casual work day with absolutely no dress code, help",office,casual,no_constraint,soft,2,0,2,3
casual work look for a day that starts with coffee and ends with happy hour,office,casual,no_constraint,bright,2,0,2,0
"casual dark work look, comfortable and interesting, I work in a place that appreciates it",office,casual,no_constraint,dark,2,0,2,1
"relaxed work day look, it's just me in the office today and I'm dressing for myself",office,casual,no_constraint,neutral,2,0,2,2
formal office look that makes me feel like the main character of my own career,office,formal,understated,soft,2,1,3,3
"formal work look for a high stakes pitch day, I want the clothes to do some of the work",office,formal,understated,bright,2,1,3,0
formal office look for a day I'm meeting a client I've only ever seen on screen,office,formal,understated,dark,2,1,3,1
formal workwear for a day that will be long and I need to look good at 8am and 8pm,office,formal,understated,neutral,2,1,3,2
bold formal office look for a day I want to feel powerful,office,formal,bold,soft,2,1,0,3
"bright bold formal work look, the office is grey and I refuse to match it",office,formal,bold,bright,2,1,0,0
bold dark formal office look for a Monday when I need to remind people I'm serious,office,formal,bold,dark,2,1,0,1
"formal office look with one bold element, everything else is quiet",office,formal,bold,neutral,2,1,0,2
formal work look for an industry I've just entered and I'm learning the dress code by watching,office,formal,no_constraint,soft,2,1,2,3
formal office look for a company with a strict dress code I actually like following,office,formal,no_constraint,bright,2,1,2,0
formal dark office look with a personal touch that makes it mine,office,formal,no_constraint,dark,2,1,2,1
formal neutral office look for the day I'm being evaluated and I need everything to be right,office,formal,no_constraint,neutral,2,1,2,2
semi-formal office look for a day I'm being interviewed for an internal promotion,office,semi-formal,understated,soft,2,2,3,3
smart casual office look for a day I have a really important one to one,office,semi-formal,understated,bright,2,2,3,0
semi-formal dark work look for a team that dresses well and expects the same from me,office,semi-formal,understated,dark,2,2,3,1
business casual look for an office with an unspoken style hierarchy I'm climbing,office,semi-formal,understated,neutral,2,2,3,2
"semi-formal bold soft office look, I bring colour to a very beige workplace",office,semi-formal,bold,soft,2,2,0,3
bright semi-formal office look for a day I need to change the energy in the room,office,semi-formal,bold,bright,2,2,0,0
bold dark semi-formal work look that makes me feel like someone to be reckoned with,office,semi-formal,bold,dark,2,2,0,1
semi-formal neutral office look with a bold piece that does all the talking,office,semi-formal,bold,neutral,2,2,0,2
semi-formal work look for a company that says dress code is smart casual but means something different to everyone,office,semi-formal,no_constraint,soft,2,2,2,3
smart casual office look for a day I'll be on my feet all day managing an event,office,semi-formal,no_constraint,bright,2,2,2,0
semi-formal dark office look for a day I work from a client's site instead of my own,office,semi-formal,no_constraint,dark,2,2,2,1
business casual look for a new office where I'm still figuring out the culture,office,semi-formal,no_constraint,neutral,2,2,2,2
formal casual everyday look for a girl who treats her wardrobe like a personal archive,casual,formal,understated,soft,0,1,3,3
bright elevated casual look for a girl who overdresses for everything and is proud of it,casual,formal,understated,bright,0,1,3,0
dark formal casual look for someone whose every day outfit looks like a fashion week street style photo,casual,formal,understated,dark,0,1,3,1
neutral formal casual look that has the energy of a very considered person,casual,formal,understated,neutral,0,1,3,2
"bold soft formal casual look, I want to be feminine and striking simultaneously",casual,formal,bold,soft,0,1,0,3
"bold bright formal everyday look, I dress like every outing could be documented",casual,formal,bold,bright,0,1,0,0
dark bold formal everyday look for someone who genuinely dresses for themselves only,casual,formal,bold,dark,0,1,0,1
"bold neutral formal everyday outfit, interesting silhouette quiet palette",casual,formal,bold,neutral,0,1,0,2
"formal everyday look with no constraints, I just want to feel extraordinary on a normal day",casual,formal,no_constraint,soft,0,1,2,3
"elevated casual look that's bright and free, dressing with intention and joy",casual,formal,no_constraint,bright,0,1,2,0
dark elevated casual look that has editorial energy for a completely regular Tuesday,casual,formal,no_constraint,dark,0,1,2,1
neutral elevated casual look that makes me feel like I have my whole life together,casual,formal,no_constraint,neutral,0,1,2,2
soft semi-formal casual look for a market visit followed by a nice lunch,casual,semi-formal,understated,soft,0,2,3,3
"bright semi-formal casual look for a cultural day out, museum then dinner",casual,semi-formal,understated,bright,0,2,3,0
dark semi-formal look for an afternoon that might turn into an evening,casual,semi-formal,understated,dark,0,2,3,1
neutral smart casual look for a day that has no agenda but deserves an outfit,casual,semi-formal,understated,neutral,0,2,3,2
"bold soft semi-formal everyday look, romantic and intentional for a weekday",casual,semi-formal,bold,soft,0,2,0,3
"bold bright semi-formal casual look, I dress like the best thing that ever happened",casual,semi-formal,bold,bright,0,2,0,0
"bold dark semi-formal everyday look, I want to look like I curated myself",casual,semi-formal,bold,dark,0,2,0,1
"bold neutral semi-formal casual look, quiet statement energy",casual,semi-formal,bold,neutral,0,2,0,2
"soft semi-formal casual look with total freedom, just want to feel lovely",casual,semi-formal,no_constraint,soft,0,2,2,3
bright semi-formal casual look for a day I want to feel alive in my clothes,casual,semi-formal,no_constraint,bright,0,2,2,0
"dark semi-formal casual look, no rules, just the vibe I live in",casual,semi-formal,no_constraint,dark,0,2,2,1
neutral semi-formal casual look that's polished enough for anywhere,casual,semi-formal,no_constraint,neutral,0,2,2,2
soft casual everyday look for a day off I want to savour,casual,casual,understated,soft,0,0,3,3
bright casual look for a spontaneous friend catch-up that turns into a whole day,casual,casual,understated,bright,0,0,3,0
dark casual look for a girl whose default is always slightly underdressed on purpose,casual,casual,understated,dark,0,0,3,1
"neutral casual look for a slow day, nothing to prove, just existing nicely",casual,casual,understated,neutral,0,0,3,2
"bold soft casual look, playful and confident for a girl who loves colour",casual,casual,bold,soft,0,0,0,3
"bold bright everyday casual look, I want my outfit to match my energy",casual,casual,bold,bright,0,0,0,0
"bold dark casual look, my vibe is intense even when I'm doing nothing",casual,casual,bold,dark,0,0,0,1
"bold neutral everyday casual look, I like interesting shapes in quiet colours",casual,casual,bold,neutral,0,0,0,2
"soft casual look with zero constraints, dressing for joy not for anyone else",casual,casual,no_constraint,soft,0,0,2,3
bright casual look for a spontaneous summer day with no plan,casual,casual,no_constraint,bright,0,0,2,0
"dark casual look, completely unconstrained, just me and my wardrobe",casual,casual,no_constraint,dark,0,0,2,1
"neutral casual look, simple and considered, the most me I know how to be",casual,casual,no_constraint,neutral,0,0,2,2
formal elevated casual look for a girl who believes every day is an event,casual,formal,understated,soft,0,1,3,3
"bright elevated everyday look, I dress formally even for a trip to the corner shop",casual,formal,bold,bright,0,1,0,0
dark formal everyday look with no agenda other than looking extraordinary,casual,formal,no_constraint,dark,0,1,2,1
neutral formal casual look for a girl with a very personal relationship with getting dressed,casual,formal,understated,neutral,0,1,3,2
bold soft semi-formal everyday look that makes strangers on the street take notice,casual,semi-formal,bold,soft,0,2,0,3
bright semi-formal casual look for a girl who always overdresses and has no regrets,casual,semi-formal,no_constraint,bright,0,2,2,0
"dark semi-formal casual look, dressed up with nowhere to go and loving it",casual,semi-formal,understated,dark,0,2,3,1
"neutral semi-formal casual look, refined and considered for a completely ordinary day",casual,semi-formal,bold,neutral,0,2,0,2
soft everyday casual look for a girl who curates even her most relaxed days,casual,casual,understated,soft,0,0,3,3
bright casual look for a day I want my outfit to do the talking,casual,casual,no_constraint,bright,0,0,2,0
"dark casual everyday look, I dress in all dark tones and it suits me perfectly",casual,casual,bold,dark,0,0,0,1
"neutral casual everyday look, the cleanest most considered version of nothing special",casual,casual,understated,neutral,0,0,3,2
"formal first date at a private dining experience, the stakes are extremely high",date,formal,understated,soft,1,1,3,3
"formal date to a champagne bar, I want to look like I belong in expensive places",date,formal,understated,bright,1,1,3,0
"formal date at a theatre where we have good seats, need to dress for the occasion",date,formal,understated,dark,1,1,3,1
formal dinner date where I know he's nervous and I want to put him at ease while also being stunning,date,formal,understated,neutral,1,1,3,2
"bold romantic formal date look, soft and feminine and completely intentional",date,formal,bold,soft,1,1,0,3
"bright bold formal date, summer evening dinner and I want to be radiant",date,formal,bold,bright,1,1,0,0
"dark dramatic formal date look, I want to be mysterious and beautiful",date,formal,bold,dark,1,1,0,1
"bold structured formal date look, power and elegance in neutral tones",date,formal,bold,neutral,1,1,0,2
formal date where I have no idea what to expect so the look needs to do everything,date,formal,no_constraint,soft,1,1,2,3
formal date that could be the beginning of something and I need to dress accordingly,date,formal,no_constraint,bright,1,1,2,0
"formal dark date look with something surprising, I don't want to be predictable",date,formal,no_constraint,dark,1,1,2,1
formal date in neutrals that feels intentional and personal not just safe,date,formal,no_constraint,neutral,1,1,2,2
"semi-formal date at a tasting menu restaurant, need to look like I appreciate nice things",date,semi-formal,understated,soft,1,2,3,3
"semi-formal sunny afternoon date at a beach restaurant, breezy and romantic",date,semi-formal,understated,bright,1,2,3,0
"semi-formal evening date, cocktails then dinner, dark and polished",date,semi-formal,understated,dark,1,2,3,1
"semi-formal date at a nice hotel bar, sophisticated and relaxed at the same time",date,semi-formal,understated,neutral,1,2,3,2
"bold soft semi-formal date look, I want to feel irresistible without looking like I tried",date,semi-formal,bold,soft,1,2,0,3
bold bright semi-formal date look for a summer evening with a lot of potential,date,semi-formal,bold,bright,1,2,0,0
"bold dark semi-formal date look, I want to be magnetic and a little intense",date,semi-formal,bold,dark,1,2,0,1
"bold semi-formal date look in neutrals, confident and striking and effortless",date,semi-formal,bold,neutral,1,2,0,2
"semi-formal date look that feels exactly like me, no performance just presence",date,semi-formal,no_constraint,soft,1,2,2,3
"semi-formal date look that's bright and open, I want to seem like a good time",date,semi-formal,no_constraint,bright,1,2,2,0
"semi-formal dark date look, I want to intrigue him without trying to",date,semi-formal,no_constraint,dark,1,2,2,1
semi-formal neutral date look that says I have taste and also personality,date,semi-formal,no_constraint,neutral,1,2,2,2
"casual date at an indoor climbing wall, sporty but still clearly made an effort",date,casual,understated,soft,1,0,3,3
"casual first date at a beach, pretty and practical, salt and sandals",date,casual,understated,bright,1,0,3,0
"casual date at a late night ramen place, cool and low key",date,casual,understated,dark,1,0,3,1
casual neutral date look for someone who finds me interesting and I want to stay that way,date,casual,understated,neutral,1,0,3,2
bold casual date look that says I always dress like this and it's not for you specifically,date,casual,bold,soft,1,0,0,3
bright bold casual date look for a girl who treats every date like a celebration,date,casual,bold,bright,1,0,0,0
"bold dark casual date look, I dress like this anyway and he can take it or leave it",date,casual,bold,dark,1,0,0,1
bold neutral casual date look that's confident and grounded and entirely mine,date,casual,bold,neutral,1,0,0,2
"casual date look in soft tones, no rules, just want to feel like myself and be liked for it",date,casual,no_constraint,soft,1,0,2,3
"casual bright date look with no agenda, natural and happy",date,casual,no_constraint,bright,1,0,2,0
"dark casual date look, completely free, I know what works for me",date,casual,no_constraint,dark,1,0,2,1
"neutral casual date look with no constraints, I want to look like the best version of my normal self",date,casual,no_constraint,neutral,1,0,2,2
formal elevated everyday casual look for a girl who finds joy in dressing well,casual,formal,understated,soft,0,1,3,3
"bright formal everyday look, elevated and intentional for a completely regular day",casual,formal,bold,bright,0,1,0,0
"dark formal casual everyday look, I take personal style as seriously as anything else",casual,formal,no_constraint,dark,0,1,2,1
"neutral formal casual look, the kind that looks effortless and took real thought",casual,formal,understated,neutral,0,1,3,2
soft semi-formal casual look for a day off that might turn into something,casual,semi-formal,bold,soft,0,2,0,3
bright semi-formal everyday look for a girl who dresses like she's already arrived,casual,semi-formal,no_constraint,bright,0,2,2,0
dark semi-formal casual look for a leisurely afternoon with high standards,casual,semi-formal,understated,dark,0,2,3,1
"neutral semi-formal casual look, elevated and easy and always considered",casual,semi-formal,bold,neutral,0,2,0,2
"soft truly casual everyday look, comfy and pretty, I still care even on a nothing day",casual,casual,understated,soft,0,0,3,3
"bright casual everyday look, colour makes me happy and that's the whole strategy",casual,casual,bold,bright,0,0,0,0
"dark truly casual everyday look, effortlessly cool, I dress like this naturally",casual,casual,no_constraint,dark,0,0,2,1
"neutral truly casual everyday look, quiet and clean, the most honest version of my style",casual,casual,understated,neutral,0,0,3,2
formal date at a rooftop restaurant where the city views are part of the evening,date,formal,understated,soft,1,1,3,3
bright formal date look for an evening I've thought about every day since it was planned,date,formal,bold,bright,1,1,0,0
"dark formal date look, I want to look like the most beautiful person he's ever seen",date,formal,no_constraint,dark,1,1,2,1
"neutral formal date look, classic and enduring, looks like I've always dressed this well",date,formal,understated,neutral,1,1,3,2
"soft bold formal date look, romantic and powerful, I'm going in with everything",date,formal,bold,soft,1,1,0,3
"bright formal date look with no constraints, I want to feel radiant and free",date,formal,no_constraint,bright,1,1,2,0
"dark formal date, no constraints, I want to be beautiful in a way that's entirely mine",date,formal,understated,dark,1,1,3,1
"neutral formal date look with complete freedom, the very best version of who I am",date,formal,bold,neutral,1,1,0,2
"soft semi-formal date at a gallery followed by dinner, art and food and great company",date,semi-formal,understated,soft,1,2,3,3
bright semi-formal date look for a golden hour evening that deserves to be beautiful,date,semi-formal,bold,bright,1,2,0,0
"dark semi-formal date look, I want the atmosphere of the night to be in my outfit too",date,semi-formal,no_constraint,dark,1,2,2,1
neutral semi-formal date look that's curated and personal and entirely unforgettable,date,semi-formal,understated,neutral,1,2,3,2
"soft bold semi-formal date look, feminine and magnetic for an evening I care about",date,semi-formal,bold,soft,1,2,0,3
"bright semi-formal date with no constraints, I want to look like summer feels",date,semi-formal,no_constraint,bright,1,2,2,0
"dark semi-formal date look unconstrained, I want to be cool and beautiful simultaneously",date,semi-formal,understated,dark,1,2,3,1
"neutral semi-formal date look with full freedom, considered and completely me",date,semi-formal,bold,neutral,1,2,0,2
"soft casual date look, a slow morning coffee date that might turn into the whole day",date,casual,understated,soft,1,0,3,3
"bright bold casual date look, I'm excited and I want my outfit to say so",date,casual,bold,bright,1,0,0,0
"dark casual date look, relaxed and cool, I want him to think I always look like this",date,casual,no_constraint,dark,1,0,2,1
"neutral casual date look, the most natural and genuine version of myself",date,casual,understated,neutral,1,0,3,2
"soft bold casual date look, playful and feminine, I'm having fun with this",date,casual,bold,soft,1,0,0,3
"bright casual date look with no rules, easy and luminous and completely comfortable",date,casual,no_constraint,bright,1,0,2,0
"dark casual date look with zero constraints, effortless in the truest sense",date,casual,understated,dark,1,0,3,1
"neutral casual date look, no agenda, just want to look exactly like myself",date,casual,bold,neutral,1,0,0,2
