prompt,occasion,formality,constraint,color_tone
dark bold formal everyday look for someone who genuinely dresses for themselves only,casual,formal,bold,dark
"bold neutral formal everyday outfit, interesting silhouette quiet palette",casual,formal,bold,neutral
"formal everyday look with no constraints, I just want to feel extraordinary on a normal day",casual,formal,no_constraint,soft
"elevated casual look that's bright and free, dressing with intention and joy",casual,formal,no_constraint,bright
dark elevated casual look that has editorial energy for a completely regular Tuesday,casual,formal,no_constraint,dark
neutral elevated casual look that makes me feel like I have my whole life together,casual,formal,no_constraint,neutral
soft semi-formal casual look for a market visit followed by a nice lunch,casual,semi-formal,understated,soft
"bright semi-formal casual look for a cultural day out, museum then dinner",casual,semi-formal,understated,bright
dark semi-formal look for an afternoon that might turn into an evening,casual,semi-formal,understated,dark
neutral smart casual look for a day that has no agenda but deserves an outfit,casual,semi-formal,understated,neutral
"bold soft semi-formal everyday look, romantic and intentional for a weekday",casual,semi-formal,bold,soft
"bold bright semi-formal casual look, I dress like the best thing that ever happened",casual,semi-formal,bold,bright
"bold dark semi-formal everyday look, I want to look like I curated myself",casual,semi-formal,bold,dark
"bold neutral semi-formal casual look, quiet statement energy",casual,semi-formal,bold,neutral
"soft semi-formal casual look with total freedom, just want to feel lovely",casual,semi-formal,no_constraint,soft
bright semi-formal casual look for a day I want to feel alive in my clothes,casual,semi-formal,no_constraint,bright
"dark semi-formal casual look, no rules, just the vibe I live in",casual,semi-formal,no_constraint,dark
neutral semi-formal casual look that's polished enough for anywhere,casual,semi-formal,no_constraint,neutral
soft casual everyday look for a day off I want to savour,casual,casual,understated,soft
bright casual look for a spontaneous friend catch-up that turns into a whole day,casual,casual,understated,bright
dark casual look for a girl whose default is always slightly underdressed on purpose,casual,casual,understated,dark
"neutral casual look for a slow day, nothing to prove, just existing nicely",casual,casual,understated,neutral
"bold soft casual look, playful and confident for a girl who loves colour",casual,casual,bold,soft
"bold bright everyday casual look, I want my outfit to match my energy",casual,casual,bold,bright
"bold dark casual look, my vibe is intense even when I'm doing nothing",casual,casual,bold,dark
"bold neutral everyday casual look, I like interesting shapes in quiet colours",casual,casual,bold,neutral
"soft casual look with zero constraints, dressing for joy not for anyone else",casual,casual,no_constraint,soft
bright casual look for a spontaneous summer day with no plan,casual,casual,no_constraint,bright
"dark casual look, completely unconstrained, just me and my wardrobe",casual,casual,no_constraint,dark
"neutral casual look, simple and considered, the most me I know how to be",casual,casual,no_constraint,neutral
formal elevated casual look for a girl who believes every day is an event,casual,formal,understated,soft
"bright elevated everyday look, I dress formally even for a trip to the corner shop",casual,formal,bold,bright
dark formal everyday look with no agenda other than looking extraordinary,casual,formal,no_constraint,dark
neutral formal casual look for a girl with a very personal relationship with getting dressed,casual,formal,understated,neutral
bold soft semi-formal everyday look that makes strangers on the street take notice,casual,semi-formal,bold,soft
bright semi-formal casual look for a girl who always overdresses and has no regrets,casual,semi-formal,no_constraint,bright
"dark semi-formal casual look, dressed up with nowhere to go and loving it",casual,semi-formal,understated,dark
"neutral semi-formal casual look, refined and considered for a completely ordinary day",casual,semi-formal,bold,neutral
soft everyday casual look for a girl who curates even her most relaxed days,casual,casual,understated,soft
bright casual look for a day I want my outfit to do the talking,casual,casual,no_constraint,bright
"dark casual everyday look, I dress in all dark tones and it suits me perfectly",casual,casual,bold,dark
"neutral casual everyday look, the cleanest most considered version of nothing special",casual,casual,understated,neutral
"formal first date at a private dining experience, the stakes are extremely high",date,formal,understated,soft
"formal date to a champagne bar, I want to look like I belong in expensive places",date,formal,understated,bright
"formal date at a theatre where we have good seats, need to dress for the occasion",date,formal,understated,dark
formal dinner date where I know he's nervous and I want to put him at ease while also being stunning,date,formal,understated,neutral
"bold romantic formal date look, soft and feminine and completely intentional",date,formal,bold,soft
"bright bold formal date, summer evening dinner and I want to be radiant",date,formal,bold,bright
"dark dramatic formal date look, I want to be mysterious and beautiful",date,formal,bold,dark
"bold structured formal date look, power and elegance in neutral tones",date,formal,bold,neutral
formal date where I have no idea what to expect so the look needs to do everything,date,formal,no_constraint,soft
formal date that could be the beginning of something and I need to dress accordingly,date,formal,no_constraint,bright
"formal dark date look with something surprising, I don't want to be predictable",date,formal,no_constraint,dark
formal date in neutrals that feels intentional and personal not just safe,date,formal,no_constraint,neutral
"semi-formal date at a tasting menu restaurant, need to look like I appreciate nice things",date,semi-formal,understated,soft
"semi-formal sunny afternoon date at a beach restaurant, breezy and romantic",date,semi-formal,understated,bright
"semi-formal evening date, cocktails then dinner, dark and polished",date,semi-formal,understated,dark
"semi-formal date at a nice hotel bar, sophisticated and relaxed at the same time",date,semi-formal,understated,neutral
"bold soft semi-formal date look, I want to feel irresistible without looking like I tried",date,semi-formal,bold,soft
bold bright semi-formal date look for a summer evening with a lot of potential,date,semi-formal,bold,bright
"bold dark semi-formal date look, I want to be magnetic and a little intense",date,semi-formal,bold,dark
"bold semi-formal date look in neutrals, confident and striking and effortless",date,semi-formal,bold,neutral
"semi-formal date look that feels exactly like me, no performance just presence",date,semi-formal,no_constraint,soft
"semi-formal date look that's bright and open, I want to seem like a good time",date,semi-formal,no_constraint,bright
"semi-formal dark date look, I want to intrigue him without trying to",date,semi-formal,no_constraint,dark
semi-formal neutral date look that says I have taste and also personality,date,semi-formal,no_constraint,neutral
"casual date at an indoor climbing wall, sporty but still clearly made an effort",date,casual,understated,soft
"casual first date at a beach, pretty and practical, salt and sandals",date,casual,understated,bright
"casual date at a late night ramen place, cool and low key",date,casual,understated,dark
casual neutral date look for someone who finds me interesting and I want to stay that way,date,casual,understated,neutral
bold casual date look that says I always dress like this and it's not for you specifically,date,casual,bold,soft
bright bold casual date look for a girl who treats every date like a celebration,date,casual,bold,bright
"bold dark casual date look, I dress like this anyway and he can take it or leave it",date,casual,bold,dark
bold neutral casual date look that's confident and grounded and entirely mine,date,casual,bold,neutral
"casual date look in soft tones, no rules, just want to feel like myself and be liked for it",date,casual,no_constraint,soft
"casual bright date look with no agenda, natural and happy",date,casual,no_constraint,bright
"dark casual date look, completely free, I know what works for me",date,casual,no_constraint,dark
"neutral casual date look with no constraints, I want to look like the best version of my normal self",date,casual,no_constraint,neutral
formal elevated everyday casual look for a girl who finds joy in dressing well,casual,formal,understated,soft
"bright formal everyday look, elevated and intentional for a completely regular day",casual,formal,bold,bright
"dark formal casual everyday look, I take personal style as seriously as anything else",casual,formal,no_constraint,dark
"neutral formal casual look, the kind that looks effortless and took real thought",casual,formal,understated,neutral
soft semi-formal casual look for a day off that might turn into something,casual,semi-formal,bold,soft
bright semi-formal everyday look for a girl who dresses like she's already arrived,casual,semi-formal,no_constraint,bright
dark semi-formal casual look for a leisurely afternoon with high standards,casual,semi-formal,understated,dark
"neutral semi-formal casual look, elevated and easy and always considered",casual,semi-formal,bold,neutral
"soft truly casual everyday look, comfy and pretty, I still care even on a nothing day",casual,casual,understated,soft
"bright casual everyday look, colour makes me happy and that's the whole strategy",casual,casual,bold,bright
"dark truly casual everyday look, effortlessly cool, I dress like this naturally",casual,casual,no_constraint,dark
"neutral truly casual everyday look, quiet and clean, the most honest version of my style",casual,casual,understated,neutral
formal date at a rooftop restaurant where the city views are part of the evening,date,formal,understated,soft
bright formal date look for an evening I've thought about every day since it was planned,date,formal,bold,bright
"dark formal date look, I want to look like the most beautiful person he's ever seen",date,formal,no_constraint,dark
"neutral formal date look, classic and enduring, looks like I've always dressed this well",date,formal,understated,neutral
"soft bold formal date look, romantic and powerful, I'm going in with everything",date,formal,bold,soft
"bright formal date look with no constraints, I want to feel radiant and free",date,formal,no_constraint,bright
"dark formal date, no constraints, I want to be beautiful in a way that's entirely mine",date,formal,understated,dark
"neutral formal date look with complete freedom, the very best version of who I am",date,formal,bold,neutral
"soft semi-formal date at a gallery followed by dinner, art and food and great company",date,semi-formal,understated,soft
bright semi-formal date look for a golden hour evening that deserves to be beautiful,date,semi-formal,bold,bright
"dark semi-formal date look, I want the atmosphere of the night to be in my outfit too",date,semi-formal,no_constraint,dark
neutral semi-formal date look that's curated and personal and entirely unforgettable,date,semi-formal,understated,neutral
"soft bold semi-formal date look, feminine and magnetic for an evening I care about",date,semi-formal,bold,soft
"bright semi-formal date with no constraints, I want to look like summer feels",date,semi-formal,no_constraint,bright
"dark semi-formal date look unconstrained, I want to be cool and beautiful simultaneously",date,semi-formal,understated,dark
"neutral semi-formal date look with full freedom, considered and completely me",date,semi-formal,bold,neutral
"soft casual date look, a slow morning coffee date that might turn into the whole day",date,casual,understated,soft
"bright bold casual date look, I'm excited and I want my outfit to say so",date,casual,bold,bright
"dark casual date look, relaxed and cool, I want him to think I always look like this",date,casual,no_constraint,dark
"neutral casual date look, the most natural and genuine version of myself",date,casual,understated,neutral
"soft bold casual date look, playful and feminine, I'm having fun with this",date,casual,bold,soft
"bright casual date look with no rules, easy and luminous and completely comfortable",date,casual,no_constraint,bright
"dark casual date look with zero constraints, effortless in the truest sense",date,casual,understated,dark
"neutral casual date look, no agenda, just want to look exactly like myself",date,casual,bold,neutral
"elevated casual everyday look that's formal enough to feel like a real outfit",casual,formal,formal,bright
"casual day look in bright tones that still has structure and intention behind it",casual,formal,formal,bright
"formal casual look for a girl who dresses with purpose even on days off",casual,formal,formal,bright
"casual but polished look in warm bright colours, I want to feel put together doing nothing",casual,semi-formal,formal,bright
"semi-formal casual look in a vibrant tone, elevated everyday dressing",casual,semi-formal,formal,bright
"bright semi-formal casual look that reads considered not accidental",casual,semi-formal,formal,bright
"casual everyday look in a bright palette that still feels curated and intentional",casual,casual,formal,bright
"bright casual look that's relaxed but structured enough to count as an outfit",casual,casual,formal,bright
"bright and breezy casual look with a formal edge, I take getting dressed seriously",casual,casual,formal,bright
"casual formal look in dark tones, I dress up even when I have nowhere to be",casual,formal,formal,dark
"elevated dark casual look that has the energy of someone who always looks this good",casual,formal,formal,dark
"casual day look in deep dark tones, rich and considered for a nothing day",casual,formal,formal,dark
"dark semi-formal casual look that's structured and intentional",casual,semi-formal,formal,dark
"semi-formal dark casual everyday look, dressed for the vibe not the occasion",casual,semi-formal,formal,dark
"dark elevated casual look for a girl whose personal style is always several steps ahead",casual,semi-formal,formal,dark
"dark casual look with a formal edge, comfortable but clearly deliberate",casual,casual,formal,dark
"casual dark formal look for a day where the only agenda is dressing well",casual,casual,formal,dark
"dark and structured casual look that still feels relaxed and entirely mine",casual,casual,formal,dark
"casual look in neutral tones with formal structure, quiet and beautifully considered",casual,formal,formal,neutral
"neutral formal casual look for a girl who treats everyday dressing as a discipline",casual,formal,formal,neutral
"elevated neutral casual look that makes getting dressed feel like an art form",casual,formal,formal,neutral
"semi-formal neutral casual look, intentional palette and considered silhouette",casual,semi-formal,formal,neutral
"neutral semi-formal everyday look with a formal constraint, clean and unhurried",casual,semi-formal,formal,neutral
"formal casual look in neutrals that feels expensive without being showy",casual,semi-formal,formal,neutral
"casual neutral look with a formal foundation, effortless on the surface intentional underneath",casual,casual,formal,neutral
"neutral casual look that reads like I curated myself this morning and enjoyed it",casual,casual,formal,neutral
"casual formal look in stone or greige, the kind of outfit that makes people ask questions",casual,casual,formal,neutral
"casual soft toned look with a formal edge, feminine and structured",casual,formal,formal,soft
"elevated soft casual look that's formal enough to feel like I really dressed today",casual,semi-formal,formal,soft
"casual look in blush or lavender with a formal constraint, dreamy but deliberate",casual,casual,formal,soft
"something for a formal party in bright tones that's festive without being costume-y",casual,casual,formal,soft
"formal party look in a warm bright tone, celebratory and fashion forward",party,formal,formal,bright
"something bright and formal for a party that's genuinely glamorous",party,formal,formal,bright
"formal gala look in a vibrant tone, I want to feel like the room changed when I entered",party,formal,formal,bright
"bright formal party look for an evening that deserves to be beautiful",party,semi-formal,formal,bright
"semi-formal party look in bright tones with a formal edge",party,semi-formal,formal,bright
"formal semi-formal party look that balances celebration with elegance",party,semi-formal,formal,bright
"casual party look that still reads formal enough for the occasion",party,casual,formal,bright
"casual formal party look in bright colours, fun but structured",party,casual,formal,bright
"formal party look in dark tones, moody and spectacular",party,formal,formal,dark
"something for a formal black tie party in deep dark tones",party,formal,formal,dark
"dark formal party look with presence and intention, I dressed for this night specifically",party,formal,formal,dark
"semi-formal formal dark party look for a venue that rewards being overdressed",party,semi-formal,formal,dark
"dark semi-formal party look with a formal constraint, elegant and slightly dangerous",party,semi-formal,formal,dark
"casual party look in dark tones that still feels formal enough to be worthy",party,casual,formal,dark
"dark formal party look for a relaxed event that still deserves a real outfit",party,casual,formal,dark
"formal neutral party look, restrained and masterfully put together",party,formal,formal,neutral
"something neutral and formal for a party where I want to be remembered not noticed",party,formal,formal,neutral
"neutral formal party look in tones that feel timeless not trend dependent",party,semi-formal,formal,neutral
"formal office look in bright tones that commands attention without demanding it",office,formal,formal,bright
"something bright and formal for a workday where I have four important meetings",office,formal,formal,bright
"formal work look in a warm bright colour for a day I need to feel sharp",office,formal,formal,bright
"bright semi-formal office look that still reads formal enough for a serious environment",office,semi-formal,formal,bright
"formal semi-formal work look in vibrant tones, I bring colour to a grey industry",office,semi-formal,formal,bright
"bright formal-edged office look for a day I want to shift the energy in the room",office,semi-formal,formal,bright
"casual office look in bright tones with a formal constraint, professional but with personality",office,casual,formal,bright
"bright casual work look that has a formal enough edge to still pass",office,casual,formal,bright
"formal office look in dark tones, sleek and serious and deeply professional",office,formal,formal,dark
"dark formal work look for a high stakes day when I need to feel untouchable",office,formal,formal,dark
"something dark and formal for an office where the dress code is strict and the crowd is chic",office,formal,formal,dark
"dark semi-formal office look with a formal constraint, polished and quietly powerful",office,semi-formal,formal,dark
"semi-formal dark work look that reads formal enough for a client-facing day",office,semi-formal,formal,dark
"dark casual office look with a formal edge for a startup that still wants people to look sharp",office,casual,formal,dark
"formal neutral work look, the kind of outfit that says I always dress like this",office,formal,formal,neutral
"neutral formal office look for a presentation day when clothes need to do some of the heavy lifting",office,formal,formal,neutral
"something neutral and formal for an office where everyone is impeccably dressed",office,semi-formal,formal,neutral
"neutral semi-formal formal office look for a hybrid day with a very important afternoon",office,semi-formal,formal,neutral
"casual neutral office look with a formal constraint, relaxed but still clearly professional",office,casual,formal,neutral
"formal date look in bright tones for an evening that has real potential",date,formal,formal,bright
"something bright and formal for a first date at a restaurant I've been saving for the right person",date,formal,formal,bright
"bright formal date look for an evening that feels like the start of something",date,semi-formal,formal,bright
"formal dark date look for a candlelit dinner that deserves a full look",date,formal,formal,dark
"something dark and formal for a date at a venue where the lighting makes everything cinematic",date,formal,formal,dark
"dark semi-formal date look with a formal edge, sophisticated and magnetic",date,semi-formal,formal,dark
"neutral formal date look that's so well considered it becomes quietly unforgettable",date,formal,formal,neutral
"something neutral and formal for a date where I want to look like I always dress this well",date,semi-formal,formal,neutral
"formal date look in bright tones, soft and romantic for an evening I'm excited about",date,formal,formal,soft
"soft formal date look with a formal constraint, luminous and feminine",date,semi-formal,formal,soft
"formal wedding guest look in bright tones that celebrates without competing",wedding,formal,formal,bright
"bright formal wedding guest look for an evening reception that calls for glamour",wedding,semi-formal,formal,bright
"formal dark wedding guest look, dramatic and considered for a winter evening ceremony",wedding,formal,formal,dark
"dark formal wedding look that reads elegant and intentional",wedding,semi-formal,formal,dark
"neutral formal wedding guest look, beautifully restrained and deeply elegant",wedding,formal,formal,neutral
"something formal for an office party at a rooftop bar, dress code is smart and I need help",party,casual,formal,neutral
"casual elevated party look with a formal constraint in neutral tones",party,casual,formal,neutral
"formal party look for a friend's birthday dinner, neutral and polished",party,formal,formal,neutral
"something for a semi-formal party in dark tones with a formal constraint",party,semi-formal,formal,dark
"casual party look in dark tones, edgy but formal enough for the occasion",party,casual,formal,dark
"formal party look in soft tones for an intimate gathering, gentle and considered",party,formal,formal,soft
"semi-formal party in pastel tones with a formal constraint, feminine and elevated",party,semi-formal,formal,soft
"casual elevated office look in neutral tones with a formal edge",office,casual,formal,neutral
"semi-formal formal office look in neutral tones for a senior-facing day",office,semi-formal,formal,neutral
"something formal for a work event in soft tones, professional and quietly beautiful",office,formal,formal,soft
"casual office look in soft tones with a formal constraint, warm and polished",office,semi-formal,formal,soft
"casual formal look in neutrals for a girl who takes her personal style as seriously as her career",casual,casual,formal,neutral
"neutral formal casual look for a slow day that still deserves an intentional outfit",casual,formal,formal,neutral
"soft formal casual look in blush tones, relaxed but never sloppy",casual,formal,formal,soft
"elevated casual soft-toned look that reads formal without trying",casual,casual,formal,soft
"casual formal date look in neutral tones, effortless and completely considered",date,casual,formal,neutral
"neutral formal date look for a casual coffee date that I still want to look good for",date,casual,formal,neutral
"formal first date at a rooftop bar, the view is stunning and I want to match it",date,formal,formal,bright
"formal date to a champagne bar, I want to look like someone who belongs in nice places",date,formal,formal,bright
bright formal date look for an evening that could be the beginning of everything,date,formal,formal,bright
"formal date at a fine dining restaurant, I want the clothes to say I take this seriously",date,formal,formal,bright
bright formal date look for someone who planned something genuinely romantic,date,semi-formal,formal,bright
semi-formal formal date look in warm bright tones for a summer evening with potential,date,semi-formal,formal,bright
bright semi-formal date look that reads formal enough for a very nice restaurant,date,semi-formal,formal,bright
"casual bright date look with a formal constraint, I want to look great without overdressing",date,casual,formal,bright
bright casual date look that still has enough polish to feel intentional,date,casual,formal,bright
formal dark date look for a candlelit dinner where the atmosphere does half the work,date,formal,formal,dark
dark formal date look for an evening that deserves every bit of thought I put into it,date,formal,formal,dark
"something dark and formal for a date at a jazz club, moody and perfectly dressed",date,formal,formal,dark
"dark formal date look for a private members club, the vibe is hushed and I want to match",date,formal,formal,dark
"semi-formal dark date look with a formal constraint, elegant and quietly magnetic",date,semi-formal,formal,dark
dark semi-formal date look for a dinner that has a dress code I need to respect,date,semi-formal,formal,dark
semi-formal formal dark date look for an evening that starts with cocktails and goes from there,date,semi-formal,formal,dark
"dark casual date look with a formal edge, cool and effortless but clearly considered",date,casual,formal,dark
casual dark date look that reads formal enough for someone who always looks this polished,date,casual,formal,dark
"formal neutral date look, so well put together it becomes its own statement",date,formal,formal,neutral
neutral formal date look for a date at a high-end restaurant I've been wanting to visit,date,formal,formal,neutral
something neutral and formal for a first date where I want to look like I always dress this well,date,formal,formal,neutral
"formal date in stone or greige tones, quiet and exquisitely considered",date,formal,formal,neutral
"neutral semi-formal date look with a formal constraint, polished and personal",date,semi-formal,formal,neutral
semi-formal neutral date look that reads formal and still feels genuinely like me,date,semi-formal,formal,neutral
formal neutral semi-formal date look for a nice bar followed by dinner,date,semi-formal,formal,neutral
"neutral casual date look with a formal constraint, effortless but unmistakably intentional",date,casual,formal,neutral
"casual neutral date look that still has a formal edge, considered and quietly attractive",date,casual,formal,neutral
"soft formal date look, luminous and romantic for an evening I've been looking forward to",date,formal,formal,soft
formal soft date look for a dinner that has a gentle and intimate atmosphere,date,formal,formal,soft
"semi-formal soft date look with a formal constraint, dreamy and beautifully dressed",date,semi-formal,formal,soft
"casual soft date look with a formal edge, pretty and deliberate for a coffee that turned into dinner",date,casual,formal,soft
"something for a formal party with a colourful dress code, bright and genuinely glamorous",party,formal,formal,bright
"formal gala look in warm vibrant tones, I want to feel luminous not just dressed up",party,formal,formal,bright
bright formal party look for an awards evening where I'm in the audience but dressed for the stage,party,formal,formal,bright
semi-formal formal party look in bright tones for a summer celebration,party,semi-formal,formal,bright
bright semi-formal party look with a formal constraint for a rooftop celebration,party,semi-formal,formal,bright
"casual bright party look with a formal edge, festive and considered",party,casual,formal,bright
casual formal party look in bright colours for a birthday dinner that ended up being quite fancy,party,casual,formal,bright
"formal dark party look for a black tie gala, dramatic and completely intentional",party,formal,formal,dark
dark formal party look for a venue that rewards people who dressed for the moment,party,formal,formal,dark
something formal and dark for a party where everyone will be watching what everyone else wears,party,formal,formal,dark
"dark semi-formal party look with a formal constraint, moody and spectacular",party,semi-formal,formal,dark
semi-formal dark formal party look for a dinner party that became a full event,party,semi-formal,formal,dark
"casual dark party look with a formal edge, structured and quietly impressive",party,casual,formal,dark
"formal neutral party look, restrained elegance for a crowd that prizes taste over flash",party,formal,formal,neutral
neutral formal party look for an industry event where I want to be remembered,party,formal,formal,neutral
formal party in neutrals for an intimate dinner party where every detail will be noticed,party,semi-formal,formal,neutral
semi-formal neutral formal party look for an elevated birthday celebration,party,semi-formal,formal,neutral
"casual party look in neutrals with a formal constraint, easy and impressively put together",party,casual,formal,neutral
"formal soft party look for a pastel-themed gala, gentle and unmistakably chic",party,formal,formal,soft
"semi-formal soft party look with a formal constraint, romantic and beautifully dressed",party,semi-formal,formal,soft
formal office look in bright tones for a day I'm presenting to a room full of stakeholders,office,formal,formal,bright
bright formal work look for a day I need to bring presence and energy simultaneously,office,formal,formal,bright
something bright and formal for an office day that starts with a client breakfast,office,formal,formal,bright
semi-formal bright office look with a formal constraint for a hybrid day with a key afternoon,office,semi-formal,formal,bright
bright semi-formal formal work look for a creative industry where colour is respected,office,semi-formal,formal,bright
casual bright office look with a formal edge for a relaxed company culture that still values polish,office,casual,formal,bright
formal dark office look for a week of back to back important meetings,office,formal,formal,dark
dark formal work look for a day I need to feel senior and composed,office,formal,formal,dark
something dark and formal for a work conference where I want to be seen as authoritative,office,formal,formal,dark
"semi-formal dark office look with a formal constraint, polished and quietly powerful",office,semi-formal,formal,dark
dark semi-formal formal work look for a client site visit where first impressions are everything,office,semi-formal,formal,dark
casual dark office look with a formal edge for a tech company that still respects how people dress,office,casual,formal,dark
formal neutral office look for a senior role where clothes communicate before I speak,office,formal,formal,neutral
neutral formal work look for a day I'm being introduced to a new executive team,office,formal,formal,neutral
something neutral and formal for a workday where everything needs to be exactly right,office,formal,formal,neutral
semi-formal formal neutral office look for a business casual environment with high standards,office,semi-formal,formal,neutral
neutral semi-formal office look with a formal constraint for a client lunch somewhere nice,office,semi-formal,formal,neutral
casual neutral office look with a formal edge for a startup that has no code but high expectations,office,casual,formal,neutral
formal soft work look in muted tones for a day I want to feel calm and completely in control,office,formal,formal,soft
"semi-formal soft office look with a formal constraint, warm and professionally beautiful",office,semi-formal,formal,soft
elevated casual everyday look with a formal constraint in bright tones,casual,formal,formal,bright
casual formal look in vibrant colours for a girl who dresses with intention on her days off,casual,semi-formal,formal,bright
bright casual formal look for a girl whose baseline style is already several levels above average,casual,casual,formal,bright
dark casual formal look for a girl who treats personal style as a daily practice,casual,formal,formal,dark
casual formal look in deep tones for a girl who overdresses with purpose,casual,semi-formal,formal,dark
"dark elevated casual look with a formal constraint, dressed for herself not for anyone else",casual,casual,formal,dark
neutral formal casual look for a girl who curates even her most relaxed outfits,casual,formal,formal,neutral
"casual formal neutral look, considered and effortless, the hardest combination to pull off",casual,semi-formal,formal,neutral
neutral casual formal look for a girl with a very deliberate relationship with her wardrobe,casual,casual,formal,neutral
"soft formal casual look in blush or powder tones, feminine and perfectly measured",casual,formal,formal,soft
soft elevated casual look with a formal constraint for a slow day that still gets a real outfit,casual,casual,formal,soft
"formal wedding guest look in bright tones, celebratory and beautifully judged",wedding,formal,formal,bright
something bright and formal for a wedding where the couple loves colour and encourages it,wedding,semi-formal,formal,bright
dark formal wedding guest look for an evening ceremony at a candlelit venue,wedding,formal,formal,dark
formal dark wedding look that's elegant and completely appropriate without being predictable,wedding,semi-formal,formal,dark
neutral formal wedding guest look that's so polished it speaks for itself,wedding,formal,formal,neutral
"formal date to a private supper club, the kind of place that doesn't have a sign outside",date,formal,formal,bright
bright formal date look for the kind of evening you dress up for because it deserves it,date,formal,formal,bright
semi-formal bright date look that reads formal and still feels like me,date,semi-formal,formal,bright
casual bright date look with a formal edge for a coffee that escalated into a proper evening,date,casual,formal,bright
"dark formal date at a theatre, I want to look like I always attend opening nights",date,formal,formal,dark
semi-formal dark date look that's formal enough for a smart venue and relaxed enough for me,date,semi-formal,formal,dark
neutral formal date look for an evening where I want to feel poised and entirely myself,date,formal,formal,neutral
"semi-formal neutral date look with a formal constraint, the most considered version of understated",date,semi-formal,formal,neutral
casual neutral date look with a formal edge for someone I want to impress without looking like I tried,date,casual,formal,neutral
soft formal date look in pale tones for an intimate dinner that deserves something beautiful,date,formal,formal,soft
"soft semi-formal date look with a formal constraint, romantic and quietly exceptional",date,semi-formal,formal,soft
bright formal party look for a gala where I'm networking and need to look approachable and polished,party,formal,formal,bright
dark formal party look for an exclusive dinner party where every outfit will be quietly judged,party,formal,formal,dark
